Model,Validation AUC,Optimal Threshold,Contextual Loss
Ridge_L2,0.7486591477984387,0.5300000000000001,24486
Logistic_Deviance,0.7486830815078545,0.1,24306
GB_LogLoss_1,0.7547758574908845,0.09000000000000001,24032
GB_LogLoss_2,0.7549634223323769,0.08000000000000002,24005
RandomForest,0.7498820780027482,0.1,24349
